Tissue	Soil	family	gene	Symbol	Direction	Core	baseMean	log2FoldChange_SIvsMI	stderror	statistic	p.value	p.adjusted
Root	Biggs	NLR	LOC_Os02g16270	NA	Downregulated by MB	TRUE	1893.49874081261	-0.766374876619921	0.262772395621074	-2.91649689766141	0.00353986243472848	0.0170972223686429
Root	Biggs	LRR-RLK	LOC_Os02g17710	NA	Downregulated by MB	TRUE	114.713318087257	-2.53107253623762	0.31364940430305	-8.0697508157614	7.0441784992048e-16	5.40928120081858e-14
Root	Biggs	NLR	LOC_Os02g18080	NA	Downregulated by MB	TRUE	257.823764007854	-1.80879439153826	0.435781644378976	-4.15068972011415	3.31474875796653e-05	0.000323316136727967
Root	Biggs	NLR	LOC_Os02g19890	NA	Upregulated by MB	FALSE	1397.95097093909	0.436477161030844	0.175240531775235	2.49073177654284	0.0127480317730753	0.04834068634014
Root	Biggs	NLR	LOC_Os02g25900	NA	Downregulated by MB	FALSE	4667.89814619512	-0.386946598114931	0.101469021143395	-3.81344565813937	0.000137042669135152	0.00110361141808215
Root	Biggs	NLR	LOC_Os02g35210	NA	Downregulated by MB	TRUE	127.098911322975	-1.73361639427944	0.233176012625044	-7.43479732225785	1.04728413631216e-13	5.80271726301103e-12
Root	Biggs	NLR	LOC_Os02g38392	NA	Downregulated by MB	TRUE	237.186492626216	-0.553913131949939	0.163668673752536	-3.38435645166556	0.000713453144806896	0.00449862159520954
Root	Biggs	LRR-RLK	LOC_Os02g41890	NA	Upregulated by MB	FALSE	1097.72537958246	0.688440024951406	0.22293163609293	3.08812170859602	0.00201425958535826	0.0107283301247005
Root	Biggs	LRR-RLK	LOC_Os02g42370	NA	Downregulated by MB	FALSE	129.672085400693	-1.15158513422866	0.268786475822306	-4.28438644729273	1.83244167493816e-05	0.000193517566318711
Root	Biggs	LRR-RLK	LOC_Os03g05140	NA	Downregulated by MB	FALSE	122.057504290087	-2.68618665316139	1.01954232068743	-2.63469852958162	0.00842120407132774	0.0346872145063285
Root	Biggs	LRR-RLK	LOC_Os03g12250	NA	Downregulated by MB	FALSE	1270.66368719877	-1.72517731046541	0.438876860501338	-3.93089147715536	8.46314690273618e-05	0.000728304419345104
Root	Biggs	LRR-RLK	LOC_Os03g20450	NA	Downregulated by MB	FALSE	56.5099733064631	-1.57624687520025	0.577281968294545	-2.73046268854878	0.0063245491823554	0.0275571723161201
Root	Biggs	NLR	LOC_Os03g20840	NA	Downregulated by MB	FALSE	554.408126575425	-0.890328971041261	0.251381070888262	-3.54175025150166	0.000397481620689166	0.00273291880344825
Root	Biggs	LRR-RLK	LOC_Os03g21230	NA	Downregulated by MB	FALSE	1111.04805991533	-0.716258638979168	0.180448753278358	-3.96931885627537	7.20783772211648e-05	0.000633856534751303
