Soil	OTU_ID	Direction	baseMean	estimate	stderror	statistic	p.value	p.adjusted
Arbuckle	FPLS01025032.12.1480	Enriched in SI	5.09237302128134	6.6885351566741	1.83486121703738	3.45728448219744	0.000545648497173204	0.00337478948859923
Arbuckle	AB378591.1.1495	Enriched in SG	208.068208123397	-10.0028846068628	1.6437120807217	-5.99943296547425	1.98007749511425e-09	4.88675436172856e-08
Arbuckle	FJ716905.1.1529	Enriched in SI	11.0209938636909	7.87052682280655	1.09974478907936	7.01795296168565	2.25142308568586e-12	1.14462349676269e-10
Arbuckle	KJ123800.1.1500	Enriched in SI	4.96416569098904	6.83905752497303	1.73380892126615	3.74629761833119	0.000179463660820585	0.00126270932339171
Arbuckle	LMQD01000001.797688.799194	Enriched in SI	110.769774277222	2.239175458582	0.668699889392235	3.35829649835612	0.000784244429634221	0.0045828720462763
Arbuckle	FPLS01044005.3.1370	Enriched in SG	7.0133030971154	-7.09710119675136	1.37501416553235	-5.12667493120733	2.94904047191114e-07	4.32318312684885e-06
Arbuckle	KX672762.1.1394	Enriched in SI	1.90091967594163	3.39880023289706	1.35425912146224	2.50560702097623	0.0122241398257211	0.0477323555099585
Arbuckle	FPLL01005505.14.1532	Enriched in SG	2.36399902308595	-4.95135645348098	1.58576030631998	-3.11084757205252	0.0018655120842727	0.00979779280624216
Arbuckle	KX507963.1.1494	Enriched in SI	0.990622350111124	4.56390215859682	1.65142317903818	2.68178141022812	0.00732312930599848	0.0312863776400809
Arbuckle	JF766456.1.1504	Enriched in SI	2.86037231910157	6.00501419325083	1.48130108167493	3.94339774284359	8.03352542079929e-05	0.000619414514628256
Arbuckle	AY212697.1.1526	Enriched in SG	22.2932195842123	-5.7595585682762	1.8543489631592	-3.0625606261687	0.00219452016839427	0.0111792991343852
Arbuckle	FPLL01001579.15.1546	Enriched in SG	11.799855987127	-7.91706405825714	0.997621298803415	-7.87914135785835	3.29638406939319e-15	2.61856509512421e-13
Arbuckle	CP000769.2981747.2983296	Enriched in SG	1265.1638978985	-8.87240334271944	1.12161204129989	-7.83944863154566	4.5252903224637e-15	3.38331999991257e-13
Arbuckle	EU016447.1.1486	Enriched in SI	340.946571047362	5.58631259083513	1.08930099249041	5.10261483269594	3.34992352058757e-07	4.81102010696814e-06
Arbuckle	FN550146.1.1476	Enriched in SI	1.27284825048036	4.45836120948855	1.46298998673468	3.00083100484357	0.00269243946298069	0.013289672067761
Arbuckle	HQ674923.1.1530	Enriched in SG	3.56541360701363	-4.97885526913223	1.68436972747939	-2.93853703495374	0.00329765256912641	0.0159365643169569
Arbuckle	FPLS01061230.12.1537	Enriched in SG	3.90079758762606	-4.72145646173279	1.16262779852565	-4.02246262913422	5.75927943743976e-05	0.000463293934492781
Arbuckle	GQ500822.1.1483	Enriched in SG	2.61387998352504	-2.70100754101404	1.03032773832973	-2.62581080139604	0.00864428510207362	0.0355562665525423
Arbuckle	HM186049.1.1342	Enriched in SG	58.5067615142348	-9.66697304249723	1.084258021331	-8.90764937907815	5.21259440768365e-19	8.83360998955455e-17
Arbuckle	EU431746.1.1490	Enriched in SI	3.7894906594887	2.93102192843435	1.96991287932775	8.03951174901145	9.01971384465799e-16	7.90624572176573e-14
Arbuckle	FJ269063.1.1520	Enriched in SG	6.99469379399547	-5.22675986351563	1.56167312207713	-3.33956813241814	0.000839087654392486	0.00484763822151295
Arbuckle	JF175400.1.1302	Enriched in SG	12.9402309241149	-6.89436383473822	1.93270129292075	-3.32300081650441	0.000890546537899142	0.00509857950301716
Arbuckle	EU769155.1.1493	Enriched in SI	11.8787333487297	6.18462594459248	2.00444515217953	2.79568718791511	0.00517895006661921	0.0234250730771282
Arbuckle	AJ293706.1.1525	Enriched in SG	22.5895243559315	-6.1604189026263	1.17033064893253	-5.24298130014533	1.58002557902619e-07	2.46406443060403e-06
Arbuckle	FPLL01000464.16.1551	Enriched in SG	68.5588363681693	-4.37924483347058	0.993402963324595	-4.40753532295854	1.04553553768703e-05	0.000105466322888906
Arbuckle	FPLS01011245.15.1478	Enriched in SI	7.57599393824799	3.87314296850842	1.17738859630243	3.2101974833454	0.00132643807736064	0.00723563431899303
Arbuckle	FPLS01022362.15.1489	Enriched in SG	1.91142005811572	-5.42179688003067	1.89136739785716	-2.79944258987548	0.00511909185594763	0.0231955998178589
Arbuckle	FPLL01008217.18.1529	Enriched in SG	2.81230395030979	-4.26581427353202	1.44809656067165	-2.96112509765264	0.00306517411461604	0.0148980355628183
Arbuckle	KC191600.5.1544	Enriched in SI	51.3947681491423	7.9942281533405	0.876583477378334	8.73495578815133	2.43751449715777e-18	2.95055326275003e-16
Arbuckle	FPLS01003342.25.1528	Enriched in SG	32.2723517872066	-8.00295815405843	1.17088130177012	-6.79903717628369	1.05320639832917e-11	4.61594942164269e-10
Arbuckle	KC554691.1.1557	Enriched in SG	7.46694415122196	-4.99916327489751	1.43031029138981	-3.49911820747274	0.000466799585439736	0.00295911358151573
