Treatment	Soil	OTU_ID	Direction	baseMean	log2FoldChange_BSvsES	stderror	statistic	p.value	p.adjusted
Soil grown	Davis	Actinobacteria	Enriched in ES	5595.67843079171	-1.71869446928744	0.591125784641622	-2.91977193914206	0.00350287628251726	0.00886898463020327
Soil grown	Davis	Alphaproteobacteria	Enriched in ES	2578.76762311756	-1.76347811847923	0.410676477516153	-4.29930338161772	1.71335800818922e-05	6.1784728174096e-05
Soil grown	Davis	Armatimonadetes	Enriched in by BS	28.9712327126442	2.80316683386062	0.646936877327234	4.32100759165562	1.55318329388078e-05	5.77590037411916e-05
Soil grown	Davis	Bacteroidetes	Enriched in ES	884.830902706221	-0.889806615555775	0.427083380150716	-2.08150754367584	0.0373874743387696	0.0816350357121759
Soil grown	Davis	BRC1	Enriched in by BS	3.85436563065642	3.98690060615721	0.946049717448055	4.07805659625265	4.54137130572963e-05	0.00015664440155995
Soil grown	Davis	Chloroflexi	Enriched in ES	553.668182051782	-1.31946676638073	0.443442132284936	-2.96881324932285	0.00298952222533325	0.00765060526483133
Soil grown	Davis	Crenarchaeota	Enriched in by BS	2.91551117129188	3.1524362505506	1.21095390696621	2.52350702363474	0.01161907394825	0.0265898038431106
Soil grown	Davis	Cyanobacteria	Enriched in by BS	11.0543683066936	2.90476710640094	1.17732650260713	2.44858947812684	0.0143416803041895	0.0325078086894961
Soil grown	Davis	Deinococcus-Thermus	Enriched in by BS	1.54042654408956	3.26962243026413	1.85638247367681	1.60171449399876	0.109218758578619	0.201504376292336
Soil grown	Davis	Deltaproteobacteria	Enriched in ES	2405.36382739845	-3.50360492841516	0.532828776754031	-6.56288555219736	5.27763549800261e-11	4.18692416174874e-10
Soil grown	Davis	Dependentiae	Enriched in by BS	0.880224930410204	0.314973851256214	1.64452766435651	0.197868482999537	0.843147963539717	1
Soil grown	Davis	Elusimicrobia	Enriched in by BS	2.74790878602469	1.49428487487637	0.778722459362091	1.89017345854527	0.0587347651590102	0.120507535412452
Soil grown	Davis	Epsilonbacteraeota	Enriched in ES	0.574494702110856	-2.79460130213159	1.87478094472415	-1.54930384919412	0.121308694895326	0.220392896069371
Soil grown	Davis	Euryarchaeota	Enriched in by BS	10.7740974382325	1.54005172815725	1.23232255376669	1.2478350205868	0.212091480826389	0.373909425456894
Soil grown	Davis	Fibrobacteres	Enriched in ES	253.711363051873	-3.27363839330698	0.755648258705674	-4.31294205276691	1.61096352154547e-05	5.89860489427419e-05
Soil grown	Davis	Firmicutes	Enriched in by BS	294.763562287559	0.790721003226071	0.593615621509566	1.33962257551897	0.180368080474766	0.325209114795411
Soil grown	Davis	Gammaproteobacteria	Enriched in ES	10745.9616569186	-3.97894965124478	0.359679111647194	-11.0638497606899	1.87857518754301e-28	7.45168157725394e-27
Soil grown	Davis	Gemmatimonadetes	Enriched in by BS	221.533361391866	4.12099692806167	0.509431968977757	8.08564821753046	6.18344275175799e-16	7.74557565746527e-15
Soil grown	Davis	Hydrogenedentes	Enriched in by BS	0.422464973328125	1.84356910153594	2.05875368269423	0.791298459502116	0.428769847173716	0.662644309268471
Soil grown	Davis	Latescibacteria	Enriched in by BS	4.07043210333057	3.88042429001092	0.994735873049406	3.850498748328	0.000117877532666432	0.000384313051706997
Soil grown	Davis	Nanoarchaeaeota	Enriched in by BS	0.906980438104078	0.96267561985469	1.41868280708185	0.668550067405771	0.503782533699369	0.740124956916358
Soil grown	Davis	Nitrospirae	Enriched in by BS	6.05934628924324	1.65047801073658	0.579246402320586	2.83629590428365	0.00456401386040701	0.0113149510289257
Soil grown	Davis	Omnitrophicaeota	Enriched in by BS	0.629807114110991	0.854011310749648	1.47450835516586	0.564423843669873	0.572465715595021	0.810993097092947
Soil grown	Davis	Patescibacteria	Enriched in by BS	11.5255579468483	1.85886059335035	1.03295722748931	1.86591677550673	0.0620530101824538	0.126227490798496
Soil grown	Davis	Planctomycetes	Enriched in by BS	166.434119932349	2.6121272904146	0.390246051804398	6.69078275547049	2.21979997028933e-11	1.88682997474593e-10
Soil grown	Davis	Rokubacteria	Enriched in by BS	6.60124554757133	3.5751419025914	0.771912829501862	4.49073798877151	7.09768191768084e-06	2.81541382734673e-05
Soil grown	Davis	Spirochaetes	Enriched in ES	0.348873305358939	-0.439309708571391	2.05773335013374	-0.34732062171154	0.728350460069458	0.94725360380618
Soil grown	Davis	Thaumarchaeota	Enriched in by BS	7.18430611539531	5.78712490559224	1.09633503378153	5.11498106105827	3.13772436851293e-07	1.58889021214059e-06
Soil grown	Davis	Verrucomicrobia	Enriched in by BS	360.075867470799	0.427196068411985	0.523898574428212	0.812282518221195	0.416629539346263	0.658041455130137
Soil grown	Davis	WPS-2	Enriched in ES	2.16278699442347	-0.0765379547482343	1.81658107457119	-0.0470996394649941	0.962433814685619	1
Soil grown	Davis	WS4	Enriched in by BS	0.548404498924966	3.00131947559917	1.72843412210258	1.68836625282821	0.0913409444330405	0.176741014431412
Soil inoculated	Arbuckle	Acidobacteria	Enriched in by BS	722.73670687521	5.95713442961346	0.258522768426079	23.0259904067735	2.56010057089213e-117	6.09303935872327e-115
Soil inoculated	Arbuckle	Actinobacteria	Enriched in ES	5595.67843079171	-3.27993497447747	0.540578536945558	-6.04302756195661	1.51248803971162e-09	9.99922648476016e-09
Soil inoculated	Arbuckle	Alphaproteobacteria	Enriched in ES	2578.76762311756	-2.1005016178688	0.375118977998495	-5.59651547269998	2.18702811690365e-08	1.2885212150941e-07
Soil inoculated	Arbuckle	Armatimonadetes	Enriched in by BS	28.9712327126442	2.78060444817914	0.57836944363288	4.80064304182387	1.58156959667299e-06	7.38065811780727e-06
Soil inoculated	Arbuckle	Bacteroidetes	Enriched in ES	884.830902706221	-1.56916005998676	0.390334766074108	-4.01009803577658	6.06935426651788e-05	0.000203451593722712
Soil inoculated	Arbuckle	BRC1	Enriched in by BS	3.85436563065642	3.21586128423581	0.885860132793512	3.57069987550352	0.000356028654286044	0.00108634384256511
Soil inoculated	Arbuckle	Chlamydiae	Enriched in ES	0.0482549683682653	0	1.88541451618193	0	1	1
Soil inoculated	Arbuckle	Chloroflexi	Enriched in by BS	553.668182051782	2.6799103499553	0.410396879324568	6.51675507816752	7.18445891691408e-11	5.51581039427597e-10
Soil inoculated	Arbuckle	Cloacimonetes	Enriched in ES	0.346577986044287	0	1.98994741356234	0	1	1
Soil inoculated	Arbuckle	Crenarchaeota	Enriched in by BS	2.91551117129188	3.30640327087785	1.09945556098139	3.01085324480517	0.00260514729590567	0.00673940278723424
Soil inoculated	Arbuckle	Cyanobacteria	Enriched in by BS	11.0543683066936	3.33516620171621	1.09397956523034	3.01326768759485	0.00258450834125268	0.00673940278723424
Soil inoculated	Arbuckle	Deinococcus-Thermus	Enriched in ES	1.54042654408956	-0.179284382313952	1.7984244527246	-0.204880831065673	0.83766523212687	1
Soil inoculated	Arbuckle	Deltaproteobacteria	Enriched in by BS	2405.36382739845	1.39480509206009	0.488855967113345	2.82718631816271	0.00469589968897888	0.0115218982059482
Soil inoculated	Arbuckle	Dependentiae	Enriched in ES	0.880224930410204	-0.3434294967166	1.52038148552155	-0.228322390124131	0.819395619417231	1
Soil inoculated	Arbuckle	Elusimicrobia	Enriched in by BS	2.74790878602469	4.03265240491192	0.872679830357934	4.61878906285664	3.8598599040227e-06	1.6702666493771e-05
Soil inoculated	Arbuckle	Entotheonellaeota	Enriched in by BS	0.0933004908420024	0.293100058951521	1.91194416970918	0.156081830096523	0.875968520309007	1
Soil inoculated	Arbuckle	Epsilonbacteraeota	Enriched in by BS	0.574494702110856	1.19481690674323	1.72313622337287	0.701260416534817	0.483140511754481	0.727514891101823
Soil inoculated	Arbuckle	Euryarchaeota	Enriched in by BS	10.7740974382325	2.31931558084358	1.06681048503184	2.19870750371737	0.0278987270601524	0.0620551125263204
Soil inoculated	Arbuckle	FBP	Enriched in by BS	0.208255569947227	1.38508961638678	2.00954780723328	0.662620532882764	0.507573616395643	0.741119758908976
Soil inoculated	Arbuckle	FCPU426	Enriched in ES	0.0600861358344335	0	1.88587962015673	0	1	1
